id,area,layer,feature,source,user_story,expected_behavior,edge_cases,status,test_ref,notes
CHK-1,governance/safety,product,secret-hardcoded check (Hard-coded credential),governance/safety/checks.py:CHECKS[secret-hardcoded] (detect re.compile lines 184-192; verify=_verify_secret lines 30-36),"As an org security lead, I want any AI- or human-authored diff that hard-codes an API key, token, or password literal to be flagged so that committed credentials are caught before they reach the repo and have to be rotated.","scan_lines returns a Finding with check_id='secret-hardcoded', category='security', severity='CRITICAL', framework='cwe-798' only when BOTH signals fire. Signal 1 (detect): a regex matching `(api_key|secret|token|password|passwd|access_key|client_secret|credential|auth_token|private_key) [:=] '<val 6+ chars>'` OR a vendor-shaped literal (AKIA[0-9A-Z]{16}, sk-[A-Za-z0-9]{20,}, xox[baprs]-..., gh[pousr]_..., github_pat_..., glpat-..., AIza..., JWT eyJ...eyJ...). Signal 2 (independent verify, _verify_secret): refutes the candidate if the line reads from env (_ENV_REF: os.environ/process.env/getenv/${/import.meta.env/config.get), if the captured value matches _PLACEHOLDER (example/xxx/placeholder/your_/change_me/dummy/fake/<...>/secret_key_here/todo/replace_me/redacted/sample/...), or if the alphanumeric substance of the value is < 8 chars. True-positive from tests: `token = ""sk-A1B2C3D4E5F6G7H8I9J0K1L2M3N4O5""` fires (test_secret_tp_real_key_fires). Verify-drop: `password = ""your_password_here""` is dropped because _PLACEHOLDER matches 'your_' (test_secret_fp_placeholder_dropped_by_verify). True-negative: `api_key = os.environ['API_KEY']` never becomes a finding because _ENV_REF refutes it (test_secret_tn_no_literal).",A real-looking value that happens to contain a placeholder token (e.g. an actual key with 'sample' in it) is suppressed by _PLACEHOLDER even though it is genuine. || A short but real secret (alphanumeric substance < 8 chars) is dropped by the len>=8 substance gate. || A secret assigned from config.get(...) is treated as env-sourced and refuted even if the config itself embeds the literal elsewhere.,GREEN,tests/test_governance_checks.py,"Two-signal gate: detect is the candidate, _verify_secret is the independent second signal; neither alone produces a finding. fix_hint: move secret to env/secret manager and rotate if committed. Vendor-format coverage (gh[pousr]_/github_pat_/glpat-/AIza/JWT) and the redacted/sample placeholders proven by test_secret_detect_covers_vendor_formats / test_secret_detect_drops_placeholder_vendor_token (SEC-8)."
CHK-2,governance/safety,product,sql-injection check (SQL built from string interpolation),governance/safety/checks.py:CHECKS[sql-injection] (detect re.compile lines 199-203; verify=_verify_sql lines 39-45),"As a developer, I want diffs that build SQL by interpolating variables into a query string to be flagged, while parameterized queries pass, so that I catch injection risk without being nagged about safe DB calls.","Produces check_id='sql-injection', severity='HIGH', framework='owasp-a03-2021' only when both signals agree. Signal 1 (detect): a call to execute/cursor.execute/.query/db.query/.raw/executemany/executescript wrapping an (optionally f-string) literal containing a SQL keyword (select|insert|update|delete|drop). Signal 2 (_verify_sql, checks.py:69-85): inspects ONLY the first call argument (extracted by _first_call_arg, checks.py:42-66, so a bind-parameter tuple is excluded), masks string literals, and confirms on f-string interpolation (any prefix casing f/F/rf/fR; uppercase variable names match via {[A-Za-z_]...}), .format/.format_map calls, %-formatting applied to the masked expression (any spacing, dict or tuple), or string+variable concatenation on either side. Parameterized queries pass because the placeholder lives inside the masked literal and the bind tuple sits outside the inspected first argument - there is no _PARAM short-circuit. True-positive: cur.execute(f""SELECT * FROM t WHERE id = {uid}"") fires (test_sql_tp_interpolated_query_fires). Verify-drop: cur.execute(""SELECT * FROM t WHERE id = ?"", (uid,)) is dropped because the bind tuple is excluded from the inspected argument (test_sql_parameterized_like_tuple_not_flagged).",A variable interpolated into the SQL string fires even when a ? bind placeholder also appears on the line - the bind tuple no longer masks the interpolation. || Uppercase interpolated names (e.g. {UID}) ARE matched (test_sql_fstring_uppercase_name_fires); executescript with concatenation fires (test_sql_executescript_concat_fires); %-formatting with no space fires (test_sql_percent_no_space_fires). || Multi-line query construction (concatenation split across lines) still escapes detection because scan is per-line.,GREEN,tests/test_governance_checks.py,"Independent second signal is the first-argument literal-masking + interpolation analysis, which does not share detect's failure mode (a constant or parameterized query is dropped). executescript added to the detect sink list per SEC-2."
CHK-3,governance/safety,product,xss-unescaped check (Unescaped HTML sink),governance/safety/checks.py:CHECKS[xss-unescaped] (detect=_XSS_SINK lines 74-75; verify=_verify_xss lines 48-55),"As a developer, I want unescaped HTML sinks that receive a variable or expression to be flagged, while sinks fed a constant string literal pass, so that real DOM-injection risk surfaces without false alarms on static markup.","Emits check_id='xss-unescaped', severity='HIGH', framework='cwe-79' only on the two-signal gate. Signal 1 (_XSS_SINK, assembled from string fragments so the file's own source carries no contiguous sink literal): matches dangerouslySetInnerHTML, `.innerHTML =`, or `v-html=`. Signal 2 (_verify_xss): refutes a pure constant assignment  -  if the text after the match is `= '...';` (a quoted literal to end of line) or a `__html: '...'}` constant, it returns False; otherwise a variable/expression is assumed to flow in and it confirms. True-positive: `return <div dangerouslySetInnerHTML={{__html: userInput}} />` fires because the value is the variable userInput, not a constant literal (test_xss_tp_variable_sink_fires). Verify-drop: `el.innerHTML = ""static text""` is dropped because the constant-literal-assignment regex matches (test_xss_fp_constant_dropped_by_verify).",A sink assigned a template literal with embedded expression that still looks like a quoted constant could be mis-refuted depending on quote shape. || Concatenated constant + variable (`innerHTML = 'a' + b`) is confirmed because it does not match the pure-constant end-of-line pattern. || Server-side template sinks not matching React/Vue/innerHTML idioms are not covered by _XSS_SINK.,GREEN,tests/test_governance_checks.py,The sink literal is deliberately de-fragmented in source to avoid tripping naive content scanners against checks.py itself  -  the same false-positive class verify() drops.
CHK-4,governance/safety,product,weak-crypto check (Weak crypto on a credential),governance/safety/checks.py:CHECKS[weak-crypto] (detect re.compile line 225; verify=_verify_weak_crypto lines 67-68),"As an org security lead, I want use of broken hash/cipher primitives (MD5, SHA1, DES, RC4) on credential material to be flagged, while the same primitives used for non-security checksums pass, so that password/token hashing weaknesses are caught without flagging benign cache keys.","Emits check_id='weak-crypto', severity='MEDIUM', framework='cwe-327' only when both signals fire. Signal 1 (detect): word-boundary match on md5|sha1|hashlib.md5|hashlib.sha1|DES|RC4. Signal 2 (_verify_weak_crypto): confirms only if the line also matches _SEC_CTX (password|passwd|pwd|pw|secret|token|credential|auth|api_key/api-key|signature|hmac; pwd and pw are word-bounded, checks.py:29)  -  i.e. the weak primitive is applied in a security context, not a plain checksum. True-positive: `digest = hashlib.md5(password.encode()).hexdigest()` fires because 'password' satisfies _SEC_CTX (test_weak_crypto_tp_on_credential_fires). Verify-drop: `cache_key = hashlib.md5(file_bytes).hexdigest()` is dropped  -  md5 detected but no security-context token on the line (test_weak_crypto_fp_checksum_dropped_by_verify).","A weak hash over credential material whose security-context word lives on a different line is refuted (per-line context only). || A variable named e.g. `auth_cache` triggers _SEC_CTX ('auth') and would confirm even for a non-security checksum. || DES matched as a standalone word could collide with unrelated identifiers, but the _SEC_CTX gate suppresses non-security uses.",GREEN,tests/test_governance_checks.py,The credential-context test is the independent second signal: it does not share detect's failure mode (a checksum over file bytes is dropped).
CHK-5,governance/safety,product,path-traversal check (File path built from user input),governance/safety/checks.py:CHECKS[path-traversal] (detect=_PATH_TRAVERSAL line 116; verify=_verify_path_traversal lines 80-83),"As an org security lead, I want file-open/send calls whose path is assembled from user-influenced input to be flagged, while sanitized/confined paths pass, so that directory-traversal exposure in AI-generated file handlers is caught.","Emits check_id='path-traversal', severity='HIGH', framework='cwe-22' only on the two-signal gate. Signal 1 (_PATH_TRAVERSAL): open/send_file/sendfile called with a built path (contains +, f-string, .format, % or os.path.join inside the args). Signal 2 (_verify_path_traversal): first refutes if the line shows sanitization (secure_filename|os.path.basename|.resolve()|realpath|safe_join); otherwise confirms only if a user-influenced token is present (request|param|user|input|filename|file_path|upload|path|payload|args). True-positive: `data = open(upload_dir + filename).read()` fires  -  built path, 'upload'/'filename' present, no sanitizer (test_path_traversal_tp_user_path_fires). Verify-drop: `data = open(os.path.basename(upload_dir + filename)).read()` is dropped because os.path.basename confines it (test_path_traversal_fp_sanitized_dropped).","A path confined by a custom helper not in the sanitizer list is still flagged (no allowlist for bespoke confinement). || A constant built path with no user-influence token (e.g. `open('a/' + 'b')`) is refuted by the user-token requirement. || secure_filename applied on a prior line, with the unsafe open on the next, escapes refutation (per-line).",GREEN,tests/test_governance_checks.py,"Independent second signal = sanitizer-present OR user-token-absent; both refute, neither overlaps detect's path-construction failure mode."
CHK-6,governance/safety,product,ssrf check (HTTP request to a user-controlled URL),governance/safety/checks.py:CHECKS[ssrf] (detect=_SSRF lines 117-118; verify=_verify_ssrf lines 86-92),"As a platform operator, I want outbound HTTP calls whose URL is a variable/expression to be flagged, while requests to constant literal URLs or allowlist-validated URLs pass, so that server-side request forgery introduced by an agent is caught before deploy.","Emits check_id='ssrf', severity='HIGH', framework='cwe-918' only when both signals agree. Signal 1 (_SSRF): a call to requests.get/post/put/head/request, urlopen, httpx.get/post, or urllib.request.urlopen up to the opening '('. Signal 2 (_verify_ssrf): inspects the argument immediately after '('  -  if it begins with a quote it is a constant URL literal and is refuted; if the line contains an allowlist guard (allowlist|allowed_hosts|whitelist|is_allowed|validate_url) it is refuted; otherwise a variable/expression is assumed and it confirms. True-positive: `r = requests.get(user_url)` fires  -  first arg is the variable user_url (test_ssrf_tp_variable_url_fires). Verify-drop: `r = requests.get(""https://api.internal/v1"")` is dropped because the argument is a quoted constant (test_ssrf_fp_constant_url_dropped).",URL built by concatenation starting with a quoted literal (`requests.get('https://' + host)`) is mis-refuted because the first char after '(' is a quote. || A validated variable URL passes only if an allowlist keyword appears on the same line; validation on a prior line is not seen. || Requests via a wrapper/session method not matching the _SSRF idioms are not detected.,GREEN,tests/test_governance_checks.py,detect ends just after '(' specifically so verify can read the URL argument; the constant-literal and allowlist tests are the independent second signal.
CHK-7,governance/safety,product,insecure-deserialization check (Unsafe deserialization of untrusted data),governance/safety/checks.py:CHECKS[insecure-deserialization] (detect=_INSECURE_DESER lines 119-120; verify=_verify_insecure_deser lines 95-96),"As an org security lead, I want unsafe deserialization calls (pickle/cpickle/marshal/yaml.load/jsonpickle) on untrusted bytes to be flagged, while safe loader variants pass, so that remote-code-execution via deserialization is caught in reviewed diffs.","Emits check_id='insecure-deserialization', severity='HIGH', framework='cwe-502' only on the two-signal gate. Signal 1 (_INSECURE_DESER, with the module name de-fragmented as 'pic'+'kle' so this file carries no contiguous dangerous literal): matches pickle.loads, cpickle.loads, marshal.loads, `yaml.load(`, or jsonpickle.decode. Signal 2 (_verify_insecure_deser): refutes the candidate if a safe variant appears on the line (safe_load|SafeLoader|FullLoader|literal_eval); otherwise confirms. True-positive: `obj = pickle.loads(blob)` fires  -  no safe loader present (test_insecure_deser_tp_fires). Verify-drop: `cfg = yaml.load(f, Loader=SafeLoader)` is dropped because SafeLoader is present (test_insecure_deser_fp_safe_loader_dropped).","yaml.load with an explicit unsafe Loader still fires (only the safe-variant tokens refute). || pickle.loads of a trusted, locally-produced blob is still flagged  -  trust of the source is not modeled. || Safe deserialization wrapped behind a custom helper name is not recognized as safe and would be flagged if it routes through a matched primitive.",GREEN,tests/test_governance_checks.py,The safe-loader test is the independent second signal; the unsafe-deser module name is assembled from fragments to keep checks.py source clean of a contiguous dangerous literal.
CHK-8,governance/safety,product,private-key-hardcoded check (Hard-coded private key),governance/safety/checks.py:CHECKS[private-key-hardcoded] (detect=_PRIVATE_KEY line 121; verify=_verify_private_key lines 99-100),"As a compliance officer, I want any embedded PEM private-key header in source to be flagged as CRITICAL, while example/placeholder key blocks pass, so that leaked signing/identity keys are caught and rotated rather than slipping into the audit trail.","Emits check_id='private-key-hardcoded', severity='CRITICAL', framework='cwe-798' only when both signals fire. Signal 1 (_PRIVATE_KEY, assembled from fragments): matches the PEM header `-----BEGIN [A-Z ]*PRIVATE KEY-----`. Signal 2 (_verify_private_key): refutes if the line contains an example/placeholder marker (example|dummy|placeholder|sample|test_key|fixture); otherwise confirms a real key. True-positive: `KEY = ""-----BEGIN RSA PRIVATE KEY-----...""` fires (test_private_key_tp_fires). Verify-drop: `# -----BEGIN PRIVATE KEY----- (example placeholder)` is dropped because 'example'/'placeholder' mark it illustrative (test_private_key_fp_placeholder_dropped).","A genuine key on a line that also contains the word 'sample' (e.g. in a nearby comment) is suppressed by the placeholder marker. || Only the header line is detected; a key body without the matched header line is not flagged. || EC/DSA/OPENSSH variants are covered by the `[A-Z ]*PRIVATE KEY` wildcard, but a non-standard header wording would be missed.",GREEN,tests/test_governance_checks.py,The example/placeholder test is the independent second signal; the PEM header literal is de-fragmented in source. fix_hint mandates removal AND immediate rotation.
CHK-9,governance/safety,product,cleartext-transmission check (Cleartext http:// endpoint),governance/safety/checks.py:CHECKS[cleartext-transmission] (detect=_CLEARTEXT line 122; verify=_verify_cleartext lines 106-109),"As an org security lead, I want non-localhost, non-private-network http:// endpoints in source to be flagged, while https endpoints, localhost, comments, and XML/schema namespace URLs pass, so that cleartext transmission risk is caught without noise from legitimately-http identifier URLs.","Emits check_id='cleartext-transmission', severity='MEDIUM', framework='cwe-319' only on the two-signal gate. Signal 1 (_CLEARTEXT, checks.py:182-184): `http://` not immediately followed by localhost|127.0.0.1|0.0.0.0|::1, an RFC1918 private host (10.x, 192.168.x, 172.16-31.x), or 169.254.x link-local - a private-network/intranet http endpoint never becomes a candidate. _NS_URL matches schemas?[./] forms (checks.py:161). Signal 2 (_verify_cleartext): refutes if the line is a comment (starts with #, //, *, <!--) or matches _NS_URL (w3.org|xmlns|schemas|purl.org|/ns/|/dtd/|!doctype|example.com|example.org)  -  XML namespace/schema URLs that are legitimately http; otherwise confirms. True-positive: `API = ""http://api.internal.example/v1""` fires (test_cleartext_tp_http_endpoint_fires). Verify-drop: `NS = ""http://www.w3.org/2000/svg""` is dropped via _NS_URL (test_cleartext_fp_xml_namespace_dropped). True-negative: `API = ""https://api.example.com""` never matches detect (test_cleartext_tn_https).","A real cleartext endpoint hosted on example.com is suppressed because _NS_URL treats example.(com|org) as a namespace/illustrative host. || An http:// URL inside a comment line is always refuted regardless of sensitivity. || localhost/loopback, IPv6 ::1, RFC1918 private (10.x, 192.168.x, 172.16-31.x), and 169.254.x link-local http endpoints are excluded at detect-time and never become candidates (test_cleartext_fp_rfc1918_private_host_dropped).",GREEN,tests/test_governance_checks.py,"The comment + namespace test is the independent second signal that drops legitimately-http XML/schema URLs, the dominant false-positive class for this check."
CHK-10,governance/safety,product,private-key-hardcoded? no  -  floating-action-tag check (GitHub Action pinned to a floating tag),governance/safety/checks.py:CHECKS[floating-action-tag] (detect=_FLOATING_TAG line 161; verify=_verify_floating_tag lines 127-131),"As a platform operator, I want CI workflow steps that pin a GitHub Action to a floating tag or branch to be flagged, while actions pinned to a full commit SHA pass, so that supply-chain tampering via mutable action references is caught per OpenSSF guidance.","Emits check_id='floating-action-tag', category='supply-chain', severity='MEDIUM', framework='openssf-scorecard' only when both signals agree. Signal 1 (_FLOATING_TAG): `uses: owner/repo@<ref>` in a workflow line. Signal 2 (_verify_floating_tag, checks.py:189-197): reads the ref from the DETECT match token itself (uses: owner/repo@<ref>), so a trailing comment cannot hijack it; a ref that fullmatches [0-9a-f]{7,64} (abbreviated SHA-1, full 40-hex SHA-1, or 64-hex SHA-256 pin) is refuted as safely pinned; any other non-empty ref (v1, main, master, a tag) confirms. True-positive: `- uses: actions/checkout@v4` fires because 'v4' is a floating tag (test_floating_action_tag_tp_fires). Verify-drop: `- uses: actions/checkout@<40 a's>` is dropped because the ref is a 40-char SHA (test_floating_action_tag_fp_sha_pinned_dropped); a 64-hex SHA-256 pin is likewise dropped (test_floating_action_tag_fp_sha256_pin_dropped).","A 7+-char lowercase-hex abbreviated commit SHA is accepted as pinned (uppercase hex still flagged). || A hex ref written in uppercase does not match [0-9a-f] and is flagged. || The ref comes from the detect match token, so a trailing comment containing '@' cannot hijack verification (test_floating_action_tag_handles_trailing_comment_with_at).",GREEN,tests/test_governance_checks.py,"The hex-pin test ([0-9a-f]{7,64}) is the independent second signal distinguishing immutable pins from mutable tags/branches. fix_hint: pin to a full 40-char commit SHA."
CHK-11,governance/safety,product,pii-in-code check (PII literal in source: email / SSN),governance/safety/checks.py:CHECKS[pii-in-code] (detect re.compile lines 217-218; verify=_verify_pii lines 58-64),"As a compliance officer, I want real email addresses and US SSNs embedded in source to be flagged under GDPR data-minimisation, while example addresses and illustrative comments pass, so that personal data does not get committed and create a privacy-regime exposure.","Emits check_id='pii-in-code', category='privacy', severity='MEDIUM', framework='gdpr-art5-art32' only on the two-signal gate. Signal 1 (detect): an email `[A-Za-z0-9._%+-]+@host.tld` OR a SSN `\d{3}-\d{2}-\d{4}`. Signal 2 (_verify_pii, checks.py:101-118): refutes if the email is at an RFC2606/RFC6761 reserved domain (_RESERVED_EMAIL_DOMAIN: .test/.example/.invalid TLDs plus example.com/org/net) or starts with test@/noreply@/foo@/bar@/user@example, if the line is a comment (starts with #, //, *, <!--), or - for the SSN branch - if the number falls in a never-issued SSA block (area 000/666/900+, group 00, or serial 0000); otherwise confirms a real PII literal. The detect email regex uses bounded quantifiers ({1,64}/{1,255}/{2,24}) as the SEC-4 ReDoS guard, and the SSN branch is word-bounded (checks.py:316-317). True-positive: `owner = ""jane.doe@acmecorp.com""` fires  -  real domain, not a comment (test_pii_tp_real_email_fires). Verify-drop: `contact = ""test@example.com""` is dropped because of example.com and the test@ prefix (test_pii_fp_example_dropped_by_verify).","A real address on a comment line is refuted because verify treats comments as illustrative, even if the data is genuine. || An SSN-shaped product code in a never-issued SSA block (area 000/666/9xx, group 00, serial 0000) is refuted (test_pii_ssn_fp_invalid_area_dropped); a validly-shaped number is still flagged (test_pii_ssn_tp_real_shape_fires); reserved-domain addresses are dropped (test_pii_fp_rfc2606_reserved_domain_dropped) || Addresses at non-example domains that are nonetheless synthetic (e.g. a custom test domain) are flagged.",GREEN,tests/test_governance_checks.py,"The example-address + comment test is the independent second signal that drops fixture/illustrative PII, the dominant false-positive class here."
CHK-12,governance/safety,product,pii-credit-card check (Luhn-valid credit-card number in source),governance/safety/checks.py:CHECKS[pii-credit-card] (detect=_CREDIT_CARD line 162; verify=_verify_credit_card lines 147-149; _luhn_ok lines 134-144),"As a compliance officer, I want 13-16 digit numbers that pass the Luhn checksum to be flagged as credit-card data (HIGH), while arbitrary numeric IDs that fail Luhn pass, so that PCI-relevant card numbers are never committed to source.","Emits check_id='pii-credit-card', category='privacy', severity='HIGH', framework='gdpr-art5-art32' only when both signals fire. Signal 1 (_CREDIT_CARD): a 13-16 contiguous-digit run or a grouped `dddd-dddd-dddd-dddd` form with no surrounding digits. Signal 2 (_verify_credit_card): strips all non-ASCII-digit characters ([^0-9] specifically, NOT the broad non-digit class - Unicode decimal digits are removed so they cannot corrupt the ord(ch)-48 arithmetic in _luhn_ok) and confirms only if 13<=len<=16 AND _luhn_ok(digits) passes  -  the Luhn mod-10 checksum is the independent second signal that a random ID will not satisfy. True-positive: `card = ""4242424242424242""` fires because it is Luhn-valid (test_credit_card_tp_luhn_valid_fires). Verify-drop: `order_id = ""1234567890123456""` is dropped because it fails the Luhn check (test_credit_card_fp_luhn_invalid_dropped).","A 16-digit non-card identifier that coincidentally passes Luhn would be a false positive (Luhn is necessary, not sufficient to prove it is a real card). || A card number broken across separators not matching the grouped pattern (e.g. spaces in unexpected positions) may evade detect. || Numbers adjacent to other digits are excluded by the (?<!\d)/(?!\d) boundaries, so a longer numeric blob is not partially matched. || A card written in fullwidth/Unicode digits matches detect (the detect digit class matches Unicode decimals) but is refuted after ASCII-only stripping leaves len<13 (test_credit_card_unicode_digit_does_not_corrupt_luhn).",GREEN,tests/test_governance_checks.py,"Luhn (_luhn_ok) is the independent second signal  -  a structurally card-shaped but invalid number is dropped, exactly the false-positive class the tests assert."
CHK-13,governance/safety,product,pii-phone check (US phone number literal in source),governance/safety/checks.py:CHECKS[pii-phone] (detect=_US_PHONE line 163; verify=_verify_phone lines 152-158),"As a compliance officer, I want real US phone numbers in source to be flagged under data-minimisation (LOW), while reserved 555-exchange numbers, comments, and example/test/placeholder lines pass, so that genuine personal contact data is removed without flagging the documentation-safe fictional numbers.","Emits check_id='pii-phone', category='privacy', severity='LOW', framework='gdpr-art5-art32' only on the two-signal gate. Signal 1 (_US_PHONE): a US-format number `(?ddd)?[-.\s]ddd[-.\s]dddd` with digit boundaries. Signal 2 (_verify_phone): refutes if the line is a comment (#, //, *, <!--), or contains example|placeholder|fake|test; otherwise strips to digits and confirms only if exactly 10 digits AND the exchange (digits[3:6]) is not '555' (the reserved/fictional exchange). True-positive: `contact = ""415-867-5309""` fires  -  10 digits, exchange 867 (test_phone_tp_fires). Verify-drop: `support = ""212-555-0199""` is dropped because the 555 exchange is reserved/fictional (test_phone_fp_reserved_exchange_dropped).","A genuine number that happens to sit on a line containing the word 'test' is suppressed by the keyword refutation. || Non-US / international formats not matching _US_PHONE are not detected. || A real number in the legacy 555 exchange range (e.g. 555-01xx is reserved, but other 555 uses existed historically) is always dropped, accepting a small false-negative to kill the dominant documentation false-positive.",GREEN,tests/test_governance_checks.py,"The 555-exchange + example/comment test is the independent second signal that drops fictional/documentation numbers, the dominant false-positive class for phone literals."
EVD-1,Evidence & Audit Trail,product,MAC hash-chain append (HMAC-SHA256 keyed / SHA-256 keyless) + signed anchor,"governance/chain.py:GovernanceChain.append (lines 80-92; _mac lines 65-69; key sourcing lines 47-53; _canonical, GENESIS); persists via store.append_chain_and_anchor (store.py:169-185)","As an org security lead, I want every governance event appended to a SHA-256 hash chain that folds in the prior entry's hash so that the audit ledger is append-only and any later tampering becomes mathematically provable rather than assumed.","GovernanceChain.append(org, payload) rejects a non-dict payload with TypeError, normalizes/validates org via _tenant_key, and reads the current chain head via store.chain_head(org) -> (seq, prev_entry_hash), substituting GENESIS ('0'*64) when the org has no prior entries. It increments seq by 1, serializes the payload deterministically with _canonical (json.dumps with sort_keys=True and separators=(',',':')) into body, and computes entry_hash = _mac(key, prev_hash, body) - HMAC-SHA256 when DLE_CHAIN_KEY or DLE_CHAIN_KEY_FILE supplies the out-of-DB signing key (env value wins when both are set; SEC-6), plain SHA-256 in the keyless fallback. The chain row AND the per-org signed head/length anchor are persisted ATOMICALLY in one transaction via store.append_chain_and_anchor(org, seq, prev_hash, body, entry_hash, anchor_mac), so a crash cannot desync anchor and head. Returns {'seq': seq, 'entry_hash': entry_hash}. Because entry_hash folds in prev_hash, the chain is cryptographically linked head-to-tail and scoped per-org via the chain table's PRIMARY KEY (org, seq).","First append for a new org: chain_head returns (0, None), so prev_hash falls back to GENESIS ('0'*64) and the genesis entry is written at seq=1. || Two payloads with identically-valued but differently-ordered keys produce the SAME body and hash because _canonical sorts keys, so logically-equal payloads chain identically (and a re-serialization during verify reproduces the same hash). || Concurrent appends for the same org race on chain_head/seq+1; the chain table PRIMARY KEY (org, seq) makes the loser's INSERT fail rather than silently forking the chain.",GREEN,tests/test_governance_chain.py; tests/test_governance_chain_signing.py,
EVD-2,Evidence & Audit Trail,product,Chain verify / tamper-detect,governance/chain.py:GovernanceChain.verify (walks store.chain_rows; re-hashes via _hash),"As an auditor/regulator, I want to re-walk the entire hash chain and have any edited, inserted, removed, or reordered entry pinpointed so that I can independently confirm the audit trail has not been altered since it was recorded.","GovernanceChain.verify(org) (chain.py:94-128) loads all rows via store.chain_rows(org) (ordered by seq ASC) and walks them with expected_seq starting at 1, carrying prev_hash initialized to GENESIS. Per-row checks: (1) row seq must equal expected_seq, else reason 'sequence gap'; (2) row prev_hash must equal the running prev_hash, else reason 'prev_hash mismatch (entry inserted/removed)'; (3) _mac(key, row prev_hash, payload) must equal entry_hash, else reason 'payload tampered (mac mismatch)'. After a clean walk it verifies the SIGNED ANCHOR: no anchor -> reason 'missing signed anchor'; an anchor whose MAC does not re-verify -> 'anchor signature invalid'; an anchor seq/head that does not match the walked head -> 'chain truncated or rolled back (anchor/head mismatch)'. EVERY return carries a 'signed' boolean (true when a chain key is configured); a fully intact chain returns {'ok': True, 'entries': len(rows), 'signed': bool}; failures return {'ok': False, 'broken_at': seq, 'reason': ..., 'signed': bool}. Hashes are recomputed from stored payloads - no stored validity flag is ever trusted.","Empty chain for an org: verify returns {'ok': True, 'entries': 0, 'signed': False} in keyless mode (vacuously valid). || A single edited payload leaves its entry_hash stale, so check (3) fires at that seq with reason 'payload tampered (mac mismatch)'; the first failing seq short-circuits the walk. || A deleted middle entry trips 'sequence gap'; a forged re-insertion that preserves numbering trips the prev_hash check. || Deleting the TAIL entries leaves the signed anchor pointing past the head -> 'chain truncated or rolled back (anchor/head mismatch)' is reported even though every remaining row hashes clean; keyless mode cannot catch a key-less writer forging the full tail (documented limit, SEC-6).",GREEN,tests/test_governance_chain.py; tests/test_governance_chain_signing.py,
EVD-3,Evidence & Audit Trail,product,Immutable per-change attribution,"governance/store.py:GovernanceStore.add_change / changes (changes table: org, repo, sha, author, agent, ts, summary, n_findings)","As a compliance officer, I want each reviewed code change recorded with its author, the AI agent involved, the commit sha, and a server-stamped timestamp so that I can attribute exactly who or what produced every change and when it was governed, regardless of which AI tool generated it.","GovernanceStore.add_change(org, repo, sha, author, agent, summary) inserts one row into the `changes` table (columns id AUTOINCREMENT PK, org, repo, sha, author, agent, ts, summary, n_findings DEFAULT 0), stamps ts = time.time() server-side (the caller cannot supply it), commits, and returns the integer lastrowid as the change_id. Attribution fields (author = human, agent = AI agent name) are stored side-by-side so a change is attributable to a human, an agent, or both, making the layer agent-agnostic. set_change_findings(org, change_id, n) (store.py:111-114) later updates only the n_findings counter, org-scoped (UPDATE ... WHERE id=? AND org=?) so a change id belonging to another tenant is a no-op; add_change normalizes/validates org via _tenant_key. changes(org, repo=None) reads back rows for the org (optionally filtered by repo) ordered by ts DESC, id DESC and returns them as a list of dicts; an org/repo index (idx_changes_org) backs the lookup. There is no update path for author/agent/sha/ts and no delete method, so the attribution record is effectively immutable once written.","A pure-human commit with no AI involved stores agent as NULL (and vice-versa for an agent-only change with author NULL); both columns are nullable, so attribution degrades gracefully instead of being rejected. || sha may be NULL (uncommitted/working-tree diff) yet the change is still recorded and attributable by author/agent/ts. || Two changes with the same wall-clock ts are disambiguated in the changes() listing by the secondary 'id DESC' sort, so newest-by-insertion still wins ordering.",GREEN,tests/test_governance_ingest.py; tests/test_governance_tenant.py,
